objectid,objectnumber,title,displaydate,datebegin,dateend,displaymaker,displayculture,displayperiod,medium,classification,displaygeography,accessionyear,department
45082,PP117,John Rodgers (1727-1811),,1765,1874,Unidentified American artist,,,Oil on canvas,Paintings,,,American Art
45086,PP118,"Richard Stockton (""The Signer""), Class of 1748, (1730-1781)",,1734,1767,"attributed to John Wollaston, British, fl. 1734–67, active in the United States",,,Oil on canvas,Paintings,,,American Art
45089,PP12,"Jonathan Edwards (1703-1758), President (1758)",1860,1860,1860,"Henry Augustus Loop, American, 1831–1895 | after Joseph Badger, American, 1708–1765",,,Oil on canvas,Paintings,,,American Art
45090,PP120,"Richard Stockton (1730–1781), Class of 1748, Trustee (1757–81)",1926,1926,1926,"Conrad Frederic Haeseler, copy after unidentified artist, American, 1875–1962",,,Oil on canvas,Paintings,,,American Art
45091,PP121,Elias Boudinot (1740-1821),,1881,1902,"William Ordway Partridge, American, 1861–1930",,,Bronze,Reliefs,,,American Art
44627,PP123,"Elias Boudinot (1740–1821), Trustee (1772–1821)",ca. 1810,1805,1815,"Unidentified American artist | formerly attributed to Charles Willson Peale, American, 1741–1827",,,Oil on canvas,Paintings,,,American Art
44635,PP124,John [Bubenheim] Bayard (1738-1807),1850,1850,1850,"Edward Ludlow Mooney, after Charles Willson Peale, American, 1741–1827, American, 1813–1887",,,Oil on canvas,Paintings,,,American Art
44636,PP125,"John Woodhull, Class of 1766 (1744-1824)",,1833,1887,"Edward Ludlow Mooney, after Thomas Sully, American, born England, 1783–1872, American, 1813–1887",,,Oil on canvas,Paintings,,,American Art
44637,PP126,"William Paterson (1745–1806), Class of 1763, Trustee (1787–1802)",,1772,1899,"Mrs. B. S. Church, after James Sharples, American, born in Britian, 1752–1811",,,Oil on canvas,Paintings,,,American Art
44638,PP127,"William Paterson, Class of 1763 (1745-1806)",,1833,1887,"Edward Ludlow Mooney, American, 1813–1887",,,Oil on canvas,Paintings,,,American Art
44639,PP128,"Richard Stockton, Class of 1779 (1764-1828)",1839,1839,1839,"Charles Winfield Tice, after Charles B. Lawrence, American, active 1813–1837; died af, American, 1810–1870",,,Oil on canvas,Paintings,,,American Art
44640,PP129,"Richard Stockton, Class of 1779 (1764-1828)",,1833,1849,"Edward Ludlow Mooney, after Charles B. Lawrence, American, active 1813–1837; died af, American, 1813–1887",,,Oil on canvas,Paintings,,,American Art
44641,PP13,Jonathan Edwards (1703–1758),1900,1900,1900,"Herbert Adams, American, 1858–1945",,,Plaster,Sculpture,,,American Art
44628,PP130,"George Spafford Woodhull, Class of 1790 (1773-1834)",ca. 1808,1803,1813,"attributed to Christian Gullager, American, 1759–1826",,,Oil on canvas,Paintings,,,American Art
44643,PP131,"George Spafford Woodhull, Class of 1790 (1773-1834)",,1833,1887,"Edward Ludlow Mooney, after Christian Gullager, American, 1759–1826, American, 1813–1887",,,Oil on canvas,Paintings,,,American Art
44647,PP132,"Ira Condict (1764–1811), Class of 1784, A.M. 1787, Trustee (1804–09)",,1784,1811,Unknown American artist,,,Oil on canvas,Paintings,,,American Art
44680,PP133,"Andrew Kirkpatrick, Class of 1775 (1756-1831)",1817,1817,1817,"Samuel Lovett Waldo, American, 1783–1861",,,Oil on canvas,Paintings,,,American Art
44681,PP134,"Andrew Kirkpatrick, Class of 1775 (1756-1831)",1871,1871,1871,"Charles Waldo Jenkins, after Samuel Lovett Waldo, American, 1783–1861, American, 1821–1896",,,Oil on canvas,Paintings,,,American Art
44682,PP135,Robert Lenox (1759-1839),,1832,1868,"Charles Loring Elliott, after John Wesley Jarvis, American, 1781–1840, American, 1812–1868",,,Oil on canvas,Paintings,,,American Art
44683,PP136,Isaac Halsted Williamson (1767-1844),,1833,1887,"Edward Ludlow Mooney, American, 1813–1887",,,Oil on canvas,Paintings,,,American Art
44645,PP137,"Charles Ewing, Class of 1798 (1780-1832)",,1833,1887,"Edward Ludlow Mooney, American, 1813–1887",,,Oil on canvas,Paintings,,,American Art
44684,PP138,William Wirt Phillips (1796-1865),1851,1851,1851,"Edward Ludlow Mooney, American, 1813–1887",,,Oil on canvas,Paintings,,,American Art
44646,PP14,Jonathan Edwards (1703-1758),ca. 1928,1923,1933,"Irving & Casson, American firm, founded 1875",,,Wood carving,Sculpture,,,American Art
44690,PP140,"Daniel Haines, Class of 1820 (1801-1877)",,1864,1923,"Henry Harrison, American, 1844–1923",,,Oil on canvas,Paintings,,,American Art
44685,PP141,"Henry Woodhull Green, Class of 1820 (1804-1876)",,1820,1885,Unknown,,,Marble,Sculpture,,,American Art
44692,PP143,George Washington Musgrave (1804-1882),,1824,1882,Unknown,,,Oil on canvas,Paintings,,,American Art
44693,PP144,Charles Smith Olden (1799-1876),1875,1875,1875,"Edward Ludlow Mooney, American, 1813–1887",,,Oil on canvas,Paintings,,,American Art
44694,PP145,"Edward William Whelpley, Class of 1834 (1818-1864)",,1850,1875,"John Hagny, American, 1833–1876",,,Oil on canvas,Paintings,,,American Art
44695,PP146,John Insley Blair (1802-1899),1883,1883,1883,"Olin Levi Warner, American, 1844–1896 | Gorham Manufacturing Co., American, established in 1831",,,Bronze,Sculpture,,,American Art
44695,PP146,John Insley Blair (1802-1899),1883,1883,1883,"Olin Levi Warner, American, 1844–1896 | Gorham Manufacturing Co., American, established in 1831",,,Bronze,Sculpture,,,American Art
44687,PP148,Henry Martyn Alexander (1822-1899),1900,1900,1900,"John Massey Rhind, American, born Scotland, 1860–1936",,,Carved stone,Reliefs,"Place located: United States, New Jersey, Princeton",,American Art
44699,PP149,Nathaniel Norris Halsted (1816-1884),1891,1891,1891,"Unknown | Henry-Bonnard Bronze Company, American, founded 1890's",,,Bronze,Reliefs,,,American Art
44700,PP15,Jonathan Edwards (1703-1758),1929,1929,1929,"John Potter Cuyler, American, 1867–1939 | after J.D. Gross, American, active 19th century | after Charles Willson Peale, American, 1741–1827",,,Oil on cardboard,Paintings,,,American Art
44703,PP151,"Charles Ewing Green, Class of 1860 (1840-1897)",1897,1897,1897,"Meyer Michael Dantzig, American, 1876–1939",,,Oil on canvas,Paintings,,,American Art
44704,PP152,"William Libbey, Sr. (1820-1895)",1907,1907,1907,"David Dalhoff Neal, American, 1838–1915",,,Oil on canvas,Paintings,,,American Art
45152,PP153,"Moses Taylor Pyne, Class of 1877 (1855-1921)",,1863,1924,"William Sartain, American, 1843–1924",,,Oil on canvas,Paintings,"Place depicted: North America, United States, New Jersey, Princeton, Pyne Hall, Princeton University",,American Art
45153,PP154,"Melancthon Williams Jacobus, Jr., Class of 1877 (1855-1937)",1923,1923,1923,"William McGregor Paxton, American, 1869–1941",,,Oil on canvas,Paintings,,,American Art
45154,PP155,"William Jay Magie, Class of 1852 (1832-1917)",1904,1904,1904,"John White Alexander, American, 1856–1915",,,Oil on canvas,Paintings,,,American Art
45156,PP156,"[James] Bayard Henry, Class of 1876 (1857-1926)",1926,1926,1926,"Meyer Michael Dantzig, American, 1876–1939",,,Oil on canvas,Paintings,,,American Art
45157,PP157,"[Stephen] Grover Cleveland (1837-1908), [Trustee 1901-1908]",,1889,1910,"William McGregor Paxton, American, 1869–1941",,,Oil on canvas,Paintings,,,American Art
45158,PP158,[Stephen] Grover Cleveland (1837-1908),1937,1937,1937,"Rudolph Evans, American, 1878–1960",,,Bronze,Sculpture,,,American Art
45159,PP159,"Joseph Bernard Shea, Class of 1885 (1863-1930)",1930,1930,1930,"H.L. Wolff, American, active 1st quarter 20th century",,,Oil on canvas,Paintings,,,American Art
45141,PP16,"Samuel Davies (1723–1761), Hon. A.M. 1753, President (1759–61)",1874,1874,1874,"James Massalon, American, active late 19th century",,,Oil on canvas,Paintings,,,American Art
45160,PP160,"Henry Burling Thompson, Class of 1877, Trustee 1906-1935 (1857-1935)",,1900,1925,"Irving Resnikoff, American, born Russa, 1897–1988 | signed ""C.J. Fox"" by Charles J. Fox, American, active 20th century, died after 1978",,,Oil on canvas,Paintings,,,American Art
45161,PP161,"William Cooper Procter, Class of 1883 (1862-1934)",1923,1923,1923,"Robert Tait McKenzie, American, born Canada, 1867–1938",,,Bronze,Reliefs,,,American Art
45142,PP162,"Knox Taylor, Class of 1895 (1873-1922)",1923,1923,1923,"M. R. Haider, active first quarter 20th century",,,Oil on canvas,Paintings,,,American Art
45167,PP163,"Edward Dickinson Duffield (1871–1938), Class of 1892, Trustee (1920–38), Acting President (1932–33)",1938,1938,1938,"Ellen Emmet Rand, American, 1876–1941",,,Oil on canvas,Paintings,,,American Art
45168,PP164,"Jonathan Dickinson Sergeant (1746–1793), Class of 1762, A.M. 1765",1786,1786,1786,"Charles Willson Peale, American, 1741–1827",,,Oil on canvas,Paintings,,,American Art
45169,PP165,"Benjamin Rush (1746–1813), Class of 1760",1823,1823,1823,"J. Tickell Viner, after Charles Balthazar J. F. de Saint-Memin, French, British, active 1821–1854",,,Oil on canvas,Paintings,,,American Art
45145,PP166,Oliver Ellsworth (1745-1807),1897,1897,1897,"John Massey Rhind, American, born Scotland, 1860–1936 | Located in East Pyne Tower",,,Stone,Sculpture,"Place located: United States, New Jersey, Princeton, East Pyne Hall, Princeton University",,American Art
45170,PP167,"Oliver Ellsworth (1745–1807), Class of 1766, LL.D. 1797",1926,1926,1926,"Conrad Frederic Haeseler, After John Trumbull, American, 1756–1843, American, 1875–1962",,,Oil on canvas,Paintings,,,American Art
45171,PP168,John Macpherson (1754-1775),,1900,1949,"Edith Mann, after John Trumbull, American, 1756–1843, American, active 1st half 20th century",,,Oil on canvas,Paintings,,,American Art
45162,PP169,"James Madison, Class of 1771 (1751-1836)",,1771,1802,"Giuseppe Ceracchi, Italian, 1751 - 1802",,,Plaster,Medals and Medallions,,,American Art
45173,PP170,"James Madison, Class of 1771",,1771,1811,"James Sharples, American, born in Britian, 1752–1811",,,Pastel,Drawings,,,Prints and Drawings
45174,PP171,"James Madison, Class of 1771 (1751-1836)",1838,1838,1838,"Charles Winfield Tice, after Otis Bass, American, 1784–1861, American, 1810–1870",,,Oil on canvas,Paintings,,,American Art
45175,PP172,"James Madison, Class of 1771 (1751-1836)",1892,1892,1892,"John Flanagan, American, 1865–1952",,,Bronze,Reliefs,,,American Art
45176,PP173,"James Madison, Class of 1771 (1751-1836)",,1878,1936,"John Massey Rhind, American, born Scotland, 1860–1936 | Located in East Pyne Tower",,,Stone,Sculpture,"Place located: North America, United States, New Jersey, Princeton, East Pyne Hall, Princeton University",,American Art
45178,PP174,"James Madison, Class of 1771 (1751-1836)",,1895,1926,"Conrad Frederic Haeseler, after Gilbert Stuart, American, 1755–1828, American, 1875–1962",,,Oil on canvas,Paintings,,,American Art
45179,PP175,"James Madison, Class of 1771 (1751-1836)",,1924,1928,"Frank Ellsworth Weeder, American, 1868–1952",,,Stained glass,Architectural Elements,,,American Art
45186,PP178,"Henry Lee, Jr., (""Light-Horse Harry""), Class of 1773 (1756-1818)",,1775,1946,"D. W. McD. Cushing, after a James Herring copy | after Gilbert Stuart, American, 1755–1828",,,Oil on canvas,Paintings,,,American Art
45188,PP179,"William Richardson Davie, Class of 1776 (1756-1820)",ca. 1920,1915,1925,"Horace T. Carpenter, American, 1857–1947",,,Oil on canvas,Paintings,,,American Art
45190,PP18,John Witherspoon (1723-1794),,1830,1870,"Charles Winfield Tice, American, 1810–1870 | after Charles Willson Peale, American, 1741–1827",,,Oil on canvas,Paintings,,,American Art
45192,PP182,"David Hosack, Class of 1789 (1769-1835)",1826,1826,1826,"Rembrandt Peale, American, 1778–1860",,,Oil on canvas,Paintings,,,American Art
45195,PP185,"(Jacob R.) Theodore Frelinghuysen, Class of 1804 (1787-1862)",,1827,1945,"Unknown artist, possibly after James R. Lambdin, American, 1807–1889",,,Oil on canvas,Paintings,,,American Art
45196,PP186,"William Henry Fitzhugh, Class of 1808 (1792-1830)",1808,1808,1808,"Thomas Sully, American, born England, 1783–1872",,,Oil on canvas,Paintings,,,American Art
45196,PP186,"William Henry Fitzhugh, Class of 1808 (1792-1830)",1808,1808,1808,"Thomas Sully, American, born England, 1783–1872",,,Oil on canvas,Paintings,,,American Art
45181,PP188,"George Mifflin Dallas, Class of 1810 (1792-1864)",1810,1810,1810,"Thomas Sully, American, born England, 1783–1872",,,Oil on canvas,Paintings,,,American Art
45198,PP19,"John Witherspoon (1723–1794), President (1768–94)",,1761,1874,"Unidentified American artist | after Charles Willson Peale, American, 1741–1827",,,Oil on canvas,Paintings,,,American Art
45199,PP190,"William Francis Taliaferro, Class of 1811 (1790-1836)",1811,1811,1811,"Thomas Sully, American, born England, 1783–1872",,,Oil on canvas,Paintings,,,American Art
45201,PP191,"Robert Field Stockton, Class of 1813 (non grad) (1795-1866)",1851,1851,1851,"Thomas Sully, American, born England, 1783–1872",,,Oil on canvas,Paintings,,,American Art
45202,PP192,"Joseph McIlvaine, Class of 1818 (1800-1838)",1818,1818,1818,"Thomas Sully, American, born England, 1783–1872",,,Oil on canvas,Paintings,,,American Art
45206,PP193,"William Schley, Class of 1821 (1799-1872)",1821,1821,1821,Unknown,,,Oil on canvas,Paintings,,,American Art
45207,PP194,"Melancthon Williams Jacobus, Sr., Class of 1834 (1816-1876)",ca. 1852,1852,1852,"Unknown | Melancthon W. Jacobus Sr., American, 1816–1876",,,Oil on canvas,Paintings,,,American Art
45208,PP195,"Frederick Sidney Giger, Class of 1841 (1820-1859)",1848,1848,1848,"David Acheson Woodward, American, 1823–1909",,,Oil on canvas,Paintings,,,American Art
45209,PP196,"Huntington Wolcott Jackson, Class of 1863 (1841-1901)",1911,1911,1911,"Henry Hering, American, 1874–1949",,,Bronze,Reliefs,,,American Art
45210,PP197,"William Allen Butler, Jr., Class of 1876  (1853-1923) (brother of artist)",,1876,1924,"Howard Russell Butler, American, 1856–1934",,,Oil on canvas,Paintings,,,American Art
45212,PP198,"Mahlon Pitney, Class of 1879 (1858-1924)",1913,1913,1913,"Ellis Roberts, British, 1860–1930",,,Oil on canvas,Paintings,,,American Art
45213,PP199,"Charles Ira Young, Class of 1883 (1862-1912)",,1891,1915,"Theodore Spicer-Simson, British, 1871–1959",,,Bronze,Reliefs,,,American Art
45214,PP2,"George II, King of England (1683–1760)",ca. 1727–32,1727,1732,"British artist | After Sir Godfrey Kneller, British, 1646–1723 | formerly attributed to Charles Jervas, British, ca. 1675–1739 | Located in Faculty Room, Nassau Hall",,,Oil on canvas,Paintings,,,European Painting and Sculpture 
45215,PP20,John Witherspoon (1723-1794),,1768,1876,Unknown,,,Marble,Sculpture,,,American Art
45163,PP202,"Frederick Brokaw, Class of 1892 (1868-1891)",,1875,1925,"Morgan J. Rhees, American, 1855–1925",,,Oil on canvas,Paintings,,,American Art
45218,PP203,"Jesse Lynch Williams, Class of 1892 (1871-1929)",,1930,1966,"Irving Wolfson, after Orlando Rouland, American, 1871–1945, American, born 1899",,,Oil on canvas,Paintings,,,American Art
45219,PP204,"John Prentiss Poe, Jr., Class of 1895 (1874-1915)",1921,1921,1921,"Herbert D. Stitt, American, 1880–1943",,,Oil on canvas,Paintings,,,American Art
45220,PP205,"Norman Walter Haring, Class of 1919 (1898-1944)",1927,1927,1927,"Lincoln Rothschild, American, 1902–1983",,,Oil on canvas,Paintings,,,American Art
45225,PP206,"William Logan MacCoy, Jr., Class of 1942 (1920-1943)",1945,1945,1945,"Joe Brown, American, 1909–1985",,,Bronze,Reliefs,,,American Art
45226,PP207,"Charles MacVeagh, Jr., Grad. College (1896-1920)",,1920,1923,"Herbert Adams, American, 1858–1945",,,Marble,Sculpture,,,American Art
45127,PP209,Samuel Hanson Cox (1793-1880),1818–1825,1818,1825,"John Paradise, American, 1783–1833",,,Oil on canvas,Paintings,,,American Art
45203,PP21,John Witherspoon (1723-1794),1876,1876,1876,Unknown,,,Bronze,Medals and Medallions,,,American Art
45228,PP210,William Bainbridge (1774-1833),,1906,1920,"Unknown | Paul E. Cabaret & Co., American, 1906–1931",,,Plaster,Reliefs,,,American Art
45229,PP211,Henry Pomeroy Davison (1867-1922),1920,1920,1920,"Jo Davidson, American, 1883–1952",,,Bronze,Sculpture,,,American Art
45230,PP213,Desire-Joseph (Cardinal) Mercier (1851-1926),,1923,1928,"Reynolds, Francis and Rohnstock, American, founded 1923",,,Stained glass,Architectural Elements,,,American Art
45231,PP214,Clarence John Hicks (1863-1944),1940,1940,1940,"Robert Brackman, American, 1898–1980",,,Oil on canvas,Paintings,,,American Art
45205,PP216,Benjamin Franklin (1706-1790),,1870,1910,"Daniel Chester French, American, 1850–1931",,,Marble,Sculpture,"Place located: North America, United States, New Jersey, Princeton, Frist Campus Center, Princeton University",,American Art
45234,PP218,George Washington after the Battle of Princeton,1779–82,1779,1782,"Charles Willson Peale, American, 1741–1827",,,Oil on canvas,Paintings,,,American Art
45223,PP22,John Witherspoon (1723-1794),,1878,1936,"John Massey Rhind, American, born Scotland, 1860–1936 | Located in East Pyne Tower",,,Stone,Sculpture,"Place located: North America, United States, New Jersey, Princeton, East Pyne Hall, Princeton University",,American Art
45236,PP221,George Washington (1732-1799),,1761,1827,"Charles Willson Peale, American, 1741–1827 | George Washington, American, 1732–1799",,,Miniature,Paintings,,,American Art
45237,PP222,George Washington at the Battle of Princeton,1783–84,1783,1784,"Charles Willson Peale, American, 1741–1827",,,Oil on canvas,Paintings,,,American Art
45242,PP224,George Washington (1732-1799),,1775,1828,"H. Neardross, after Gilbert Stuart, American, 1755–1828",,,Oil on canvas,Paintings,,,American Art
45257,PP225,"Susan Shippen Blair  (Mrs. Samuel Blair, Jr.) (1743-1821)",1812–17,1812,1817,"Otis Bass, American, 1784–1861",,,Oil on canvas,Paintings,,,American Art
45261,PP226,Annis Boudinot (Mrs. Richard) Stockton (1736-1801),,1736,1767,Unidentified American artist,,,Oil on canvas,Paintings,,,American Art
45262,PP227,Annis Boudinot Stockton (Mrs. Richard) (1736-1801),,1756,1801,Unknown,,,Oil on canvas,Paintings,,,American Art
45263,PP228,"Margaret Spencer Sergeant (Mrs. Jonathan Dickinson), 1759-1787",1887,1887,1887,"William Sergeant Kendall, after Charles Willson Peale, American, 1741–1827, American, 1869–1938",,,Oil on canvas,Paintings,,,American Art
45265,PP23,John Witherspoon (1723-1794),,1923,1963,"Reynolds, Francis and Rohnstock, American, founded 1923",,,Stained glass,Architectural Elements,"Place located: North America, United States, New Jersey, Princeton, University Chapel, Princeton University",,American Art
44648,PP232,Isabella Guthrie McCosh (1817-1909),1908–09,1908,1909,"John White Alexander, American, 1856–1915",,,Oil on canvas,Paintings,,,American Art
44649,PP233,John Cleve Green (1800-1875),1870,1870,1870,"Daniel Huntington, American, 1816–1906",,,Oil on canvas,Paintings,,,American Art
44651,PP235,Alpheus Hyatt (1838-1902),,1902,1947,"Harriet Hyatt Mayor, American, 1868–1960",,,Bronze,Medals and Medallions,,,American Art
44652,PP236,"Alice Potter Lippincott,  (1840-1894) (Mrs. J.D. Lippincott, Class of 1861)",1874,1874,1874,"Anna Lea, American, 1844–1930",,,Oil on canvas,Paintings,,,American Art
44654,PP237,"John Maclean, Class of 1816 (1800-1886)",ca. 1908,1903,1908,"J. Otto Schweizer, American, 1863–1955",,,Bronze,Reliefs,,,American Art
44657,PP24,"Samuel Stanhope Smith (1750–1819), Class of 1769, President (1795–1812)",,1813,1819,"Charles B. Lawrence, American, active 1813–1837; died after 1864",,,Oil on canvas,Paintings,,,American Art
44662,PP244,Madonna and Child,ca. 1500,1495,1505,"Benedetto da Maiano, Italian, 1442 - 1497",,,Pastiglio relief,Reliefs,,,European Painting and Sculpture 
44663,PP245,Madonna and Child,,1447,1479,"Antonio Rossellino, Italian, 1427–1479",,,Plaster relief,Reliefs,,,European Painting and Sculpture 
44669,PP246,Angel Kneeling,ca. 1525,1520,1530,"school of Giovanni della Robbia, Italian, 1469–ca. 1529",,,Terracotta,Sculpture,,,European Painting and Sculpture 
44672,PP25,"Samuel Stanhope Smith, Class of 1769 (1750-1819)",,1833,1887,"Edward Ludlow Mooney, American, 1813–1887 | copy after Charles B. Lawrence, American, active 1813–1837; died after 1864",,,Oil on canvas,Paintings,,,American Art
44672,PP25,"Samuel Stanhope Smith, Class of 1769 (1750-1819)",,1833,1887,"Edward Ludlow Mooney, American, 1813–1887 | copy after Charles B. Lawrence, American, active 1813–1837; died after 1864",,,Oil on canvas,Paintings,,,American Art
44673,PP250,"Harold Willis Dodds (1889–1980), President (1933–57)",1953,1953,1953,"Paul Trebilcock, American, 1902 –1981",,,Oil on canvas,Paintings,,,American Art
44674,PP251,Jonathan Belcher (1682-1757),1745 – 1747,1745,1747,Unknown,,,Pastel on paper,Drawings,,,Prints and Drawings
44676,PP252,"James Madison (1751–1836), Class of 1771",,1804,1825,"Jacob Cist, after Gilbert Stuart, American, 1755–1828, American, 1782–1825",,,Oil on canvas,Paintings,,,American Art
44677,PP253,Mary Van Dyke Carnahan (Mrs. James) (companion to port of Jas. Carnahan),1820 ?,1820,1820,Unknown,,,Oil on canvas,Paintings,,,American Art
44678,PP254,Samuel Blair Jr.  (1741-1818),,0,0,Unknown,,,Pastel on paper,Drawings,,,Prints and Drawings
44679,PP255,"Susan Shippen Blair (Mrs. Samuel Blair, Jr.) (1743-1821)",,0,0,Unknown,,,Pastel,Drawings,,,Prints and Drawings
45269,PP256,"James Carnahan, Class of 1800 (1775-1859)",ca. 1820,1815,1825,Unknown,,,Oil on canvas,Paintings,,,American Art
45270,PP257,"Walter Hope, Class of 1901 (1879-1948), Charter Trustee of Executive Board (1919-1948)",,1907,1956,"Leopold Gould Seyffert, American, 1887–1956",,,Oil on canvas,Paintings,,,American Art
45274,PP260,George Washington (1732-1799),ca. 1790,1785,1795,"John Johnston, after Charles Willson Peale, American, 1741–1827, American, 1752–ca. 1818",,,Oil on canvas,Paintings,,,American Art
45276,PP262,"T. Ferdinand Wilcox, Class of 1900",1939,1939,1939,"H. L. Hildebrandt, American, 1872–1958",,,Oil on canvas,Paintings,,,American Art
45280,PP265,"Joel Parker, Class of 1839 (1816-1888)",,1822,1854,"Jesse Atwood, American, ca. 1802–ca. 1854",,,Oil on canvas,Paintings,,,American Art
45258,PP266,Charles Smith Olden (1799-1876),,1822,1854,"attributed to Jesse Atwood, American, ca. 1802–ca. 1854",,,Oil on canvas,Paintings,,,American Art
45281,PP268,"Charles Penrose, Class of 1907 (1886-1958)",1948,1948,1948,"Kenneth Forbes, Canadian, 1892–1980",,,Oil on canvas,Paintings,,,American Art
45260,PP269,"Major General Julius Ochs Adler, Class of 1914 (1892-1955)",1957,1957,1957,"Samuel Mirsky, American, 1883–1963",,,Oil on canvas,Paintings,,,American Art
45282,PP27,"Ashbel Green, Class of 1783 (1762-1848)",,1819,1824,"William Woollett, American, active 1819–1824",,,Oil on wood,Paintings,,,American Art
45283,PP270,"T. Ferdinand Wilcox, Class of 1900",,1892,1958,"H. L. Hildebrandt, American, 1872–1958",,,Oil on canvas,Paintings,,,American Art
45164,PP271,"James Monroe, Fifth President of the United States (1758-1831)",,1801,1840,"John Wesley Jarvis, after John Vanderlyn, American, 1775–1852, American, 1781–1840",,,Oil on canvas,Paintings,,,American Art
45284,PP272,"Albert Goodsell Milbank, Class of 1896",,1953,1953,"Daniel Shatt, American, active mid 20th century",,,Oil on canvas,Paintings,,,American Art
45165,PP273,Thomas Jefferson (1743-1826),,1812,1868,"Thomas Badger, after Gilbert Stuart, American, 1755–1828, American, 1792–1868",,,Oil on canvas,Paintings,,,American Art
45285,PP275,Lewis Buckley Stillwell (1862-1941),1927,1927,1927,"Ernest Ludwig Ipsen, American, 1869–1951",,,Oil on canvas,Paintings,,,American Art
45183,PP276,"Kenneth Condit, Dean of the School of Engineering and Applied Science, 1940-1954, Class of 1913 (1915-1992)",1957,1957,1957,"Peter Geoffrey Cook, Class of 1940, American, 1915–1992",,,Oil on canvas,Paintings,,,American Art
45286,PP277,"Stephen Francis Voorhees, Class of 1900 (1878- 1965)",1949,1949,1949,"Paul Trebilcock, American, 1902 –1981",,,"Oil on canvas
",Paintings,,,American Art
45239,PP278,John Stuart,,1917,1991,"Joseph Allworthy, American, 1897–1991",,,Oil on canvas,Paintings,,,American Art
45287,PP279,"Thomas Davies Jones, Class of 1876",1950,1950,1950,"Joseph Allworthy, after Gari Melchers, American, 1860–1932, American, 1897–1991",,,Oil on canvas,Paintings,,,American Art
45288,PP28,"Ashbel Green, Class of 1783 (1762-1848)",ca. 1825,1820,1830,"Wooley, active ca.1825",,,Oil on canvas,Paintings,,,American Art
45184,PP280,"Hobart Amory Hare ""Hobie"" Baker (1892-1918)",,1935,1992,"Peter Geoffrey Cook, American, 1915–1992",,,Oil on canvas,Paintings,,,American Art
