objectid,objectnumber,title,displaydate,datebegin,dateend,displaymaker,displayculture,displayperiod,medium,classification,displaygeography,accessionyear,department
135747,2019-376,Cylinder seal: goats,ca. 1000–600 B.C.,-1000,-600,,Mesopotamian,Neo Assyrian,Steatite,Seals and Stamps,"Place collected: Asia, Iraq or Syria",2019-01-01,"Ancient, Byzantine, and Islamic Art"
35306,PU 4034,Basket with handle,before 1883,1870,1883,,Makah,,Twined red cedar root and bear grass,Textiles,"Place collected: North America, Cape Flattery",,Art of the Ancient Americas
31525,y1970-120,Massacre of the Innocents,,1597,1640,"school of Peter Paul Rubens, Flemish, 1577–1640 | formerly attributed to Peter Paul Rubens, Flemish, 1577–1640",,,Oil on wood panel,Paintings,,1970-01-01,European Painting and Sculpture 
39552,2000-293 a-b,Black-glazed lidded pyxis,ca. 525 B.C.,-575,-475,,"Greek, Attic",,Ceramic,Ceramic,,2000-01-01,"Ancient, Byzantine, and Islamic Art"
30937,y1968-241,Male head,late 6th century B.C.,-529,-501,,Cypriote,,Limestone,Sculpture,,1968-01-01,"Ancient, Byzantine, and Islamic Art"
7263,x1948-218,"Head of Psyche, study after Psyche in the Temple of Love",1893,1893,1893,"Sir Edward John Poynter, British, 1836–1919",,,Brown Conté crayon,Drawings,,1948-01-01,Prints and Drawings
135957,2019-310,Bowl with russet splashes,,960,1279,,Chinese,"Song dynasty, 960–1279",Cizhou ware; stoneware with black and russet glaze,Ceramic,,2019-01-01,Asian Art
35152,PU 5050,Oval mat,before 1883,1870,1883,,Makah,,Twined red cedar root and bear grass,Textiles,"Place collected: North America, Cape Flattery",,Art of the Ancient Americas
24253,y1952-68,St. Leopold,17th century,1600,1699,,Austrian,,Wood with painted and gilded gesso surface,Sculpture,"Place made: Europe, Austria",1952-01-01,European Painting and Sculpture 
32067,y1973-4,Fragment of jug:  Queen Berenike II in relief,ca. 220 B.C.,-270,-170,,Egyptian,Hellenistic,Faience,Faience,,1973-01-01,"Ancient, Byzantine, and Islamic Art"
38925,2000-431,December Fields,1932,1932,1932,"Charles Ephraim Burchfield, American, 1893–1967",,,"Brush and black ink, watercolor and gouache, with touches of white and black chalk over charcoal",Drawings,,2000-01-01,Prints and Drawings
6507,x1948-1247,Seated female nude,,1877,1947,"Georg Kolbe, German, 1877–1947",,,Black chalk,Drawings,,1948-01-01,Prints and Drawings
36160,PU 8173,Carving of a seal,before 1903,1785,1903,,Eskimo,,Whale bone,Bone,"Place collected: North America, United States, Alaska",,Art of the Ancient Americas
23672,y1948-56,Fragmentary funerary relief: man under an arch,4th–5th century,300,499,,,Early Byzantine,Marble,Architectural Elements,Place made: Eastern Mediterranean,1948-01-01,"Ancient, Byzantine, and Islamic Art"
32116,y1977-70,Judith and Holofernes,17th century,1600,1699,"Antonio Bellucci, Italian, 1654 - 1726",,,Oil on canvas,Paintings,"Place made: Europe, Venice",1977-01-01,European Painting and Sculpture 
81240,2012-90 a-b,Teapot with floral carving,late 19th–early 20th century,1870,1914,"Seifū Yohei III 清風与平, 1851–1914",Japanese,"Meiji period, 1868–1912",Porcelain,Ceramics,"(not assigned): Asia, Japan",2012-01-01,Asian Art
31399,y1969-89,"Pliny the Younger and his Mother at Misenum, 79 A.D.",1785,1785,1785,"Angelica Kauffmann, British, born in Switzerland, 1741–1807",,,"Oil on canvas
",Paintings,"Place depicted: Europe, Golfo di Napoli (Bay of Naples)",1969-01-01,European Painting and Sculpture 
32725,y1983-16,Wall hanging,1975,1975,1975,"Alexander Calder, American, 1898–1976",,,Dyed maguey fiber,Textiles,"Place made: North America, Guatemala",1983-01-01,American Art
45514,PP474,"George Henry Davis, Class of 1886",,1935,1966,"Peter Geoffrey Cook, American, 1915–1992",,,Oil on canvas,Paintings,,,American Art
34061,y31,Five Figures for a Crucifix,,1410,1462,"attributed to Niccolò di Guardiagrele, Italian, ca. 1390–before 1462",,,Silver gilt,Metal,,,"Ancient, Byzantine, and Islamic Art"
44610,2005-35,Amphora Series #8,1990,1990,1990,"Laurence Bach, American, born 1947",,,Gelatin silver print with hand-colored sepia toner,Photographs,"Place made: North America, United States",2005-01-01,Photography
27896,y1956-96,Mercury,1st century A.D.,0,99,,Roman,,Bronze,Metal,,1956-01-01,"Ancient, Byzantine, and Islamic Art"
35125,PU 3942,Portrait mask,before 1885,1850,1885,,probably Haida,,"Wood with blue, red, and black paint",Masks,Place collected: North America,,Art of the Ancient Americas
10293,x1961-19,Seated bishop,,1736,1809,"attributed to Joseph-Marie Vien, French, 1716–1809 | formerly attributed to Eustache Le Sueur, French, 1616–1655",,,"Black, red, and white chalk",Drawings,,1961-01-01,Prints and Drawings
21426,L.1988.62.14,Young Woman in a Round Hat,ca. 1877–79,1877,1879,"Édouard Manet, French, 1832–1883",,,Oil on canvas,Paintings,,,European Painting and Sculpture 
31855,y1973-112,A Young Prince,17th century,1620,1671,"attributed to Gerard Soest, Dutch, ca. 1600–1681",,,Oil on canvas,Paintings,,1973-01-01,European Painting and Sculpture 
33301,y1989-26,Portrait of a man,ca. 180 A.D,130,230,,Roman,Antonine or Severan,"White, finely crystalline marble",Sculpture,,1989-01-01,"Ancient, Byzantine, and Islamic Art"
7246,x1948-1730,Standing and flying figures with child between them,,1775,1826,"John Flaxman, British, 1755–1826",,,Graphite,Drawings,,1948-01-01,Prints and Drawings
137717,2020-361,"Untitled, from the Typology series",2005,2005,2005,"Laylah Ali, American, born 1968",,,Ink and graphite collaged on paper support,Drawings,,2020-01-01,Prints and Drawings
32228,y1987-6,Mosaic pavement: medallions and geometric patterns,late 5th century A.D.,450,499,,Roman,,Stone,Mosaics,"Place excavated: Turkey, near Antioch on the Orontes, Seleucia Pieria",1987-01-01,"Ancient, Byzantine, and Islamic Art"
15922,x1984-356,Small compositional study: study for Latimer Preaching at Paul's Cross,,1812,1871,"Sir George Hayter, British, 1792–1871",,,Graphite,Drawings,,1984-01-01,Prints and Drawings
2422,2016-724,Vessel,,0,0,,,,Glazed ceramic,Ceramic,,2016-01-01,Asian Art
22821,y1946-165,Portrait of a Military Official,early 20th century,1900,1941,"Chae Yongsin  蔡龍臣, workshop, Korean, 1890 - 1941",Korean,"Joseon dynasty, 1392–1910",Hanging scroll; ink and color on paper,Paintings,"Place made: Asia, Korea",1946-01-01,Asian Art
51099,2006-69,"Portrait bust of a young woman, possibly a sister of Caligula",second quarter of the 1st century A.D.,25,49,,Roman,Julio-Claudian,Bronze,Metal,,2006-01-01,"Ancient, Byzantine, and Islamic Art"
7842,x1948-447,"Statue of Saint Sebastian, Church of Santa Maria Assunta di Carignano, Genoa",,1750,1809,"after Pierre Puget, French, 1620–1694 | formerly attributed to Augustin Pajou, French, 1730–1809",,,Red chalk; counterproof,Drawings,"Place depicted: Europe, Italy, Genoa",1948-01-01,Prints and Drawings
36097,PU 7176,Doll,ca. 1900,1895,1905,,Apache,,"Buckskin, linen, yarn, beads, and tin",Sculpture,"Place collected: North America, United States",,Art of the Ancient Americas
27752,y1959-23,Etrusco-Corinthian Alabastron,ca. 575–550 B.C.,-575,-550,,Etruscan,,Ceramic,Ceramic,,1959-01-01,"Ancient, Byzantine, and Islamic Art"
88258,2004-241 a,Entablature fragment,5th century A.D.,400,499,,Late Roman,,Grayish-white marble,Architectural Elements,"Place excavated: Turkey, Daphne-Harbie",2004-01-01,"Ancient, Byzantine, and Islamic Art"
18640,x1993-211,untitled,1993,1993,1993,"illustrations by James Romberger, American, born 1958 | text by David Wojnarowicz, American, 1954–1992",,,Screenprint,Prints,,1993-01-01,Prints and Drawings
6052,x1947-170,"Joachim and the Angels, after woodcut in Life of the Virgin series",16th century,1500,1599,"Andrea Boscoli, Italian, 1550–1607 | after Albrecht Dürer, German, 1471–1528",,,Brown ink with brown wash,Drawings,,1947-01-01,Prints and Drawings
35098,PU 3930,Maskette with copper eyes,before 1882,1850,1882,,Tlingit,,"Wood with red and black paint, and brass overlay",Masks,"Place collected: North America, Xunaa Ḵwáan (Hoonah)",,Art of the Ancient Americas
135819,L.2019.37.2,Ein Kurtz Regiment wie sich zu Zeiten der Pestilentz zu halten sey.,Nuremberg: printed 1533,1533,1533,German,,,,Books,,,Exhibitions
32444,y1981-29,Presentation in the Temple,,1535,1563,"Andrea Schiavone, Italian, ca. 1510–1563",,,Oil on canvas,Paintings,,1981-01-01,European Painting and Sculpture 
23316,y1949-148,View of New York City from New Jersey,1857,1857,1857,"John Henry Hill, American, 1839–1922",,,Oil on canvas,Paintings,"Place depicted: United States, New York, Manhattan, New York",1949-01-01,American Art
17097,x1992-130,untitled,1992,1992,1992,"Gaylen Gerber, American, born 1955",,,Gelatin silver print,Photographs,,1992-01-01,Photography
44620,1995-94,Coffin box timber,10th–13th century,900,1299,,Chinese,"Liao dynasty, 907–1125",Wood and pigment,Funerary Objects,"Place made: Asia, China",1995-01-01,Asian Art
31710,y1978-45,George Washington,ca. 1787,1787,1822,"Attributed to Charles Willson Peale, American, 1741–1827 | Person depicted: George Washington, American, 1732–1799",,,Oil on canvas,Paintings,,1978-01-01,American Art
137127,L.2020.4.72,"Spread from “The Metropolitan and Modern Art,” Life","January 15, 1951",1951,1951,"Nina Leen, American, born Russia, 1909–1995",,,Illustrated periodical,Ephemera,,,Exhibitions
35452,PU 5018,Kuhke too-gu (circular mat),before 1883,1870,1883,,Tlingit,,Spruce root twining with grass false embroidery,Textiles,Place collected: North America,,Art of the Ancient Americas
24391,y1953-44,Madonna from a Nativity group,15th century,1400,1499,,German,,"Wood, gesso, and paint",Sculpture,"Place made: Europe, Germany",1953-01-01,European Painting and Sculpture 
36868,1998-421,Earring,4th–5th century,300,499,,Turkish or Russian,Gothic,Gold inset with garnets,Ornament,,1998-01-01,"Ancient, Byzantine, and Islamic Art"
30184,y1966-2,Untitled - 1965,1965,1965,1965,"Jack Massey, American, born 1925",,,Oil and collage on canvas,Paintings,,1966-01-01,American Art
41979,2003-144,Shitao - Van Gogh PUAM,2002–03,2002,2003,"Zhang Hongtu, born China 1943, active New York",,,Oil on canvas,Paintings,"Place made: Asia, China",2003-01-01,Asian Art
24639,y1954-130,Shepherdess,1633,1633,1633,"Paulus Moreelse, Dutch, 1571–1638",,,Oil on canvas,Paintings,,1954-01-01,European Painting and Sculpture 
29309,y1963-41,Warrior on horseback,,220,265,,Chinese,"Wei dynasty, A.D. 220–265",Gray clay with buff and red slip,Ceramic,"Place made: Asia, China",1963-01-01,Asian Art
6722,x1948-1677.85,"Study for mural: fallen figure with two women, woman weeping, group of women",,1879,1921,"William Strang, British, 1859–1921",,,Graphite,Drawings,,1948-01-01,Prints and Drawings
136972,L.2020.6.4,Telegram to Life editor Daniel Longwell,"November 4, 1936",1936,1936,"Margaret Bourke-White, American, 1904–1971",,,Paper,Photographs,,,Exhibitions
58857,2010-16,Zeide Isaac,2009,2009,2009,"Alejandro Cesarco, Uruguayan, born 1975",,,"16mm film transferred to digi-beta
",Time-based works,,2010-01-01,Modern and Contemporary Art
42710,x1983-111 k,Surface Series from Currents #47,1970,1970,1970,"Robert Rauschenberg, American, 1925–2008",,,Screenprint,Prints,"Place made: North America, United States, New York, New York",1983-01-01,Prints and Drawings
35329,PU 5023,Tarlth (placemat),before 1882,1870,1882,,Tlingit,,Spruce root twining with grass false embroidery,Textiles,Place collected: North America,,Art of the Ancient Americas
135870,2019-266,Landscape of the Body (Epilepsy Test),2011,2011,2011,"LaToya Ruby Frazier, American, born 1982",,,Gelatin silver print,Photographs,,2019-01-01,Photography
20110,y1935-18,Nativity,,1360,1393,"Altichiero, Italian, fl. 1369–before 1393",,,Tempera on poplar wood,Paintings,"Place collected: Europe, Verona",1935-01-01,European Painting and Sculpture 
16033,x1984-427,Portrait of Latimer: Study for Latimer Preaching at Paul's Cross,1852,1852,1852,"Sir George Hayter, British, 1792–1871",,,Graphite and slight brownish wash,Drawings,,1984-01-01,Prints and Drawings
16016,x1984-416,Study for figure of Latimer: The Martyrdom of Ridley and Latimer,,1812,1871,"Sir George Hayter, British, 1792–1871",,,Brown ink,Drawings,,1984-01-01,Prints and Drawings
134597,2020-266,Retablo of Bernabé H. and Catarina V.,1944,1944,1944,Anonymous,,,Oil on metal,Paintings,,2020-01-01,Modern and Contemporary Art
22313,y1943-97,Fragment of a black-figure column krater: trireme,ca. 530–520 B.C.,-530,-520,,"Greek, Attic",,Ceramic,Ceramic,,1943-01-01,"Ancient, Byzantine, and Islamic Art"
28621,y1961-290,Head of a serpent (uraeus),,0,1961,,Egyptian,,Limestone,Sculpture,,1961-01-01,"Ancient, Byzantine, and Islamic Art"
31420,y1970-111,Mask,A.D. 1400–1520,1400,1520,,Aztec,Late Postclassic,"Wood with traces of gesso, gold leaf, and hematite",Masks,"Place made: North America, Mexico, reportedly found in southern Oaxaca, Central Mexico",1970-01-01,Art of the Ancient Americas
137496,2020-64,"New York Times, Sunday, June 16, 1996",1996,1996,1996,"Nicky Nodjoumi, Iranian American, born 1942",,,"Gouache, acrylic, and graphite on newsprint",Paintings,"Place made: North America, United States, New York, New York",2020-01-01,Modern and Contemporary Art
33413,y1990-24,Attachment in the form of a comic mask,1st–2nd century A.D.,1,199,,Roman,,Bronze,Ornament,,1990-01-01,"Ancient, Byzantine, and Islamic Art"
9658,x1958-83,Village,,1923,1992,"John Piper, English, 1903–1992",,,"Brown ink, watercolor, gouache",Drawings,,1958-01-01,Prints and Drawings
135418,2019-75,"Hiding Out Back. Slave Cemetery, Mount Locust Stand and Plantation, Jefferson County, Mississippi","2014, printed 2019",2014,2014,"Jeanine Michna-Bales, American, born 1971",,,Chromogenic print,Photographs,"Place depicted: North America, United States, Mississippi, Mount Locust",2019-01-01,Photography
59116,PU 7408,Human effigy with hunting scene,19th century,1800,1899,,Pueblo,,"Ceramic, black-on-white with buff and orange base",Ceramic,"Place collected: North America, United States, New Mexico, Cochiti Pueblo, Rio Grande",,Art of the Ancient Americas
32361,y1979-9,Spanish Moss,1949,1949,1949,"Leonid Berman, American, 1896–1976",,,Oil on canvas,Paintings,"Place depicted: United States, Florida, Jacksonville",1979-01-01,American Art
135818,L.2019.37.1,"Healing scroll (ma’ero qumät, tälsäm, or yä branna ketab)",ca. 1770-1830,1765,1835,Amhara or Tigriyna maker,,,Colored inks on parchment,Manuscripts,,,Exhibitions
135923,2019-447,Amulet of Harpocrates,301–30 B.C.,-301,-30,,Egyptian,Ptolemaic,Blue faience,Faience,"Place made: Africa, Egypt",2019-01-01,"Ancient, Byzantine, and Islamic Art"
16193,x1984-477,"Dr. Smith Preaching, after John Foxe, Book of Martyrs, 1563",,1812,1871,"Sir George Hayter, British, 1792–1871",,,Graphite covered with tan wash,Drawings,,1984-01-01,Prints and Drawings
135697,2019-255,Miniature figure of mother and child,A.D. 1000–1400,1000,1400,,Ica,Late Intermediate,Ceramic with black slip,Ceramic,"Place made: South America, Peru, South coast",2019-01-01,Art of the Ancient Americas
40841,2002-21,Female votive figurine,7th century B.C.,-700,-601,,Cypriote,,Painted terracotta,Ceramic,,2002-01-01,"Ancient, Byzantine, and Islamic Art"
59497,y1986-46.2,Fragment of thread-decorated bowl,7th–9th century,600,899,,Islamic,,Glass,Glass,,1986-01-01,"Ancient, Byzantine, and Islamic Art"
61358,PU 7328,Bowl,A.D. 1100–1300,1100,1300,,Reserve (?) Black-on-White,,Ceramic with white and black slip,Ceramic,"Place collected: North America, United States, Arizona",,Art of the Ancient Americas
33187,y1989-49,Statuette of a hunchback holding a cockerel,2nd–1st century B.C.,-200,-1,,Greek,Hellenistic,Bronze,Metal,,1989-01-01,"Ancient, Byzantine, and Islamic Art"
32793,y1982-83,Cloth with geometric design,A.D. 400–500,400,500,,Nasca,Early Intermediate,Camelid fiber,Textiles,"Place made: South America, Peru, South coast",1982-01-01,Art of the Ancient Americas
9002,x1952-163,Torso of a man holding a staff in his left hand and gesturing with his right,,1580,1609,"Attributed to Domenico Zampieri (called Domenichino), Italian, 1581–1641",,,Red chalk,Drawings,,1952-01-01,Prints and Drawings
19606,y1934-52 u,Scarab,"1479–332 B.C., possibly 1479–1069 B.C.",-1479,-332,,Canaanite,"New Kingdom to Late Period , 18th-30th Dynasties | not prior to the reign of Thutmose III, possibly New Kingdom","Steatite, with faint traces of red glaze",Faience,,1934-01-01,"Ancient, Byzantine, and Islamic Art"
18296,x1992-250,DNA 5,1992,1992,1992,"Susan Rankaitis, American, born 1949",,,Combined medium photographic monoprint,Photographs,"Place made: North America, United States",1992-01-01,Photography
40000,2001-146,White Patty You Don't Shine,1987–88,1987,1988,"Carrie Mae Weems, American, born 1953",,,Gelatin silver print,Photographs,"Place made: North America, United States",2001-01-01,Photography
45005,2005-51,Statuette of the Tyche of Antioch,1st century B.C.,-100,-1,,Roman,,Bronze,Metal,,2005-01-01,"Ancient, Byzantine, and Islamic Art"
24214,y1954-431,The Battle of the Amazons,,1597,1640,"after Peter Paul Rubens, Flemish, 1577–1640",,,Oil on canvas,Paintings,,1954-01-01,European Painting and Sculpture 
36165,PU 8250,Double barb from fish spear,before 1903,1875,1903,,Iñupiaq,,Bone,Tools / Equipment / Implements,"Place made: North America, United States, Alaska, Port Clarence, North Alaska",,Art of the Ancient Americas
59707,2010-102.33,"Camera Work: A Photographic Quarterly, No. 38",published April 1912,1912,1912,"Anne W. Brigman, American, 1869–1950 | Edited and Published by Alfred Stieglitz, American, 1864–1946 | Printed by Manhattan Photogravure Company, American, active early 20th century | Arranged and printed at Rogers & Company, American, active early 20th century",,,Bound in original gray binding,Books,"Place made: North America, United States, New York, New York",2010-01-01,Photography
36943,1998-921,Trade textile,20th century,1900,1998,Kuba artists,,,"Raffia, tukula, and dye",Textiles,"Place made: Africa, Democratic Republic of the Congo",1998-01-01,African and Oceanic Art
137441,2020-246.11,"Osoki hi no tsumorite toki mukashi kana (Slow days piling up, how distant they seem, these past times)",mid-1960s,1965,1969,"Stanton Macdonald-Wright, American, 1890–1973 | Printed by Clifton Karhu, American, 1927–2007, active Japan | Haiku by Yosa Buson 与謝蕪村, 1716–1783",,,Woodblock print,Prints,"Place made: Asia, Japan, Kyoto",2020-01-01,Prints and Drawings
29389,y1964-176,Jar,4th century,300,399,,,Late Antique,Transparent light greenish glass,Glass,Place made: Levant,1964-01-01,"Ancient, Byzantine, and Islamic Art"
55931,2009-6,Rattle in the form of six gourds,A.D. 100–300,100,300,,Mochica,Early Intermediate,Silver gilded copper alloy,Metal,"Place made: South America, Peru, Piura, North coast, Loma Negra?",2009-01-01,Art of the Ancient Americas
11959,x1971-28,Three Generations,1970,1970,1970,"Pol Mara, Belgian, 1920–1998",,,Color lithograph,Prints,,1971-01-01,Prints and Drawings
13586,x1976-314,Hermitage,,1935,1976,"Robert Motherwell, American, 1915–1991",,,Silkscreen and lithograph,Prints,,1976-01-01,Prints and Drawings
135624,2019-167,Autopsy,"1984, printed 1994",1984,1984,"Kenji Nakahashi, Japanese, 1947–2017",,,Chromogenic print,Photographs,,2019-01-01,Photography
21753,y1941-52,Coast Scene,1855,1855,1855,"John Frederick Kensett, American, 1816–1872",,,Oil on canvas,Paintings,,1941-01-01,American Art
25007,y40,Stories from Ovid,,1470,1523,"school of Bartolommeo Montagna, Italian, 1450–1523",,,Tempera on wood panel,Paintings,,,European Painting and Sculpture 
29034,y1962-122,L'Uomo che porta la carne,1957–58,1957,1958,"Leonardo Cremonini, Italian, 1925–2010",,,Oil on canvas,Paintings,,1962-01-01,European Painting and Sculpture 
137677,2020-325,Adam and Eve,1917,1917,1917,"Max Beckmann, German, 1884–1950 | Published by I.B. Neumann",,,Drypoint on laid Van Zander paper,Prints,,2020-01-01,Prints and Drawings
